South Pole                      0.00, -90.00,     2835,   -28,  -25,  -42,  -37,  -56,  -50,  -60,  -52,  -61,  -53,  -61,  -53,  -63,  -55,  -62,  -55,  -62,  -55,  -53,  -47,  -39,  -36,  -39,  -36,   558,   480,   217,     0,     0,     0,     0,     0,    60,   434,   600,   589
Jerusalem                      35.21,  31.77,      795,     4,   12,    5,   13,    6,   16,   10,   21,   12,   25,   15,   28,   17,   29,   17,   29,   16,   28,   14,   25,   10,   19,    6,   14,   172,   188,   223,   285,   334,   408,   405,   388,   339,   278,   214,   180
Hohhot, China                 111.75,  40.84,     1065,   -17,   -5,  -13,    0,   -6,    7,    2,   16,    8,   23,   13,   27,   16,   29,   15,   26,    8,   21,    1,   14,   -7,    4,  -14,   -3,   181,   198,   246,   269,   295,   291,   265,   255,   252,   245,   195,   171
Hong Kong, China              114.11,  22.40,       40,    13,   20,   13,   20,   16,   22,   20,   26,   24,   29,   26,   31,   26,   32,   26,   32,   25,   31,   22,   29,   18,   25,   14,   21,   143,   105,    90,   113,   150,   158,   210,   195,   195,   210,   188,   165
Jinan, China                  117.12,  36.65,       23,    -4,    4,   -1,    8,    5,   14,   11,   22,   17,   27,   22,   32,   24,   32,   22,   31,   18,   27,   12,   21,    5,   13,   -2,    6,   158,   158,   200,   232,   255,   221,   184,   187,   183,   194,   160,   152
Jiuquan, China                 98.49,  39.73,     1483,   -15,   -2,  -11,    2,   -4,    9,    3,   17,    8,   23,   13,   27,   15,   29,   13,   28,    8,   23,    1,   15,   -6,    7,  -13,    0,   219,   212,   241,   259,   293,   283,   279,   277,   268,   265,   227,   209
Kashgar, China                 75.99,  39.47,     1270,   -10,    0,   -6,    5,    2,   14,    9,   22,   13,   26,   16,   30,   19,   32,   17,   31,   12,   27,    5,   20,   -2,   11,   -8,    2,   155,   160,   185,   214,   256,   304,   312,   288,   259,   240,   196,   158
Kunming, China                102.83,  24.88,     1892,     4,   16,    6,   19,    9,   21,   12,   24,   15,   25,   17,   25,   18,   25,   17,   25,   15,   23,   13,   21,    8,   18,    5,   16,   232,   231,   266,   254,   225,   142,   142,   161,   138,   153,   180,   205
Lanzhou, China                103.83,  36.06,     1518,   -15,    1,  -10,    6,   -3,   13,    3,   20,    8,   24,   12,   27,   14,   29,   14,   28,    9,   22,    2,   17,   -6,    9,  -13,    2,   175,   187,   207,   227,   251,   247,   246,   247,   190,   194,   182,   169
Lhasa, China                   91.17,  29.65,     3657,   -10,    7,   -7,    9,   -3,   12,    1,   16,    5,   19,    9,   23,   10,   22,    9,   21,    8,   20,    1,   16,   -5,   11,   -9,    8,   251,   227,   246,   249,   277,   257,   227,   220,   229,   282,   267,   259
Nanchang, China               115.86,  28.68,       37,     3,    9,    5,   11,    9,   15,   15,   22,   20,   27,   23,   30,   26,   34,   26,   33,   22,   29,   17,   24,   11,   18,    5,   12,    89,    83,    94,   125,   161,   160,   249,   233,   190,   168,   143,   138
Nanjing, China                118.80,  32.06,       12,    -2,    6,    0,    8,    4,   14,   10,   20,   16,   25,   20,   29,   24,   32,   24,   32,   19,   28,   13,   22,    7,   16,    1,    9,   133,   117,   150,   153,   198,   192,   224,   225,   183,   184,   143,   124
Nanning, China                108.37,  22.82,      126,    10,   17,   12,   19,   15,   22,   20,   27,   23,   31,   25,   32,   25,   33,   25,   33,   23,   32,   20,   29,   15,   25,   11,   20,    65,    57,    55,    94,   137,   146,   181,   182,   173,   160,   134,   113
Qingdao, China                120.38,  36.07,       77,    -3,    3,   -2,    5,    2,    9,    8,   15,   13,   20,   18,   24,   22,   27,   23,   28,   19,   25,   13,   20,    6,   12,   -1,    6,   185,   180,   222,   224,   245,   219,   183,   223,   220,   220,   189,   182
Qiqihar, China                123.92,  47.35,      147,   -24,  -12,  -19,   -7,  -10,    3,    0,   13,    8,   21,   15,   26,   19,   28,   17,   26,    9,   20,    0,   11,  -11,   -1,  -20,  -10,   191,   209,   260,   249,   283,   282,   269,   272,   247,   228,   185,   165
Shanghai, China               121.47,  31.23,        6,     2,    8,    2,   10,    5,   13,   12,   20,   17,   24,   22,   28,   26,   32,   26,   31,   22,   28,   15,   22,    9,   17,    2,   11,   114,   120,   129,   149,   170,   131,   191,   186,   168,   161,   131,   127
Shantou, China                116.68,  23.35,       51,    11,   18,   12,   18,   14,   20,   18,   24,   22,   27,   25,   30,   26,   32,   26,   32,   24,   30,   21,   28,   16,   24,   12,   20,   143,    96,   102,   113,   135,   171,   240,   219,   201,   208,   181,   172
Shenyang, China               123.43,  41.81,       55,   -17,   -5,  -12,    0,   -4,    7,    4,   17,   12,   24,   17,   27,   21,   29,   19,   29,   12,   24,    4,   16,   -5,    6,  -13,   -2,   166,   186,   222,   226,   248,   220,   193,   211,   223,   207,   157,   148
Shijiazhuang, China           114.51,  38.04,       83,    -5,    4,   -2,    8,    4,   14,   10,   22,   16,   28,   21,   32,   23,   32,   22,   31,   17,   27,   10,   21,    2,   12,   -3,    5,   143,   153,   193,   225,   246,   210,   176,   186,   184,   180,   158,   138
Taiyuan, China                112.55,  37.87,      800,   -10,    2,   -7,    6,   -1,   13,    6,   20,   12,   26,   16,   29,   19,   30,   17,   28,   12,   24,    5,   18,   -2,   10,   -8,    3,   166,   168,   207,   236,   260,   237,   227,   220,   198,   203,   169,   158
Tianjin, China                117.20,  39.08,        8,    -9,    2,   -7,    4,   -1,   11,    7,   20,   13,   26,   18,   30,   22,   31,   20,   30,   14,   26,    7,   19,    0,   10,   -7,    3,   178,   177,   205,   230,   266,   251,   218,   223,   223,   211,   173,   166
Turpan, China                  89.19,  42.95,       30,   -10,   -2,   -4,    7,    5,   17,   13,   27,   19,   34,   24,   38,   26,   40,   24,   39,   18,   32,    9,   22,    0,   10,   -8,    0,   125,   171,   232,   260,   308,   303,   306,   305,   273,   236,   160,   103
Urumqi, China                  87.62,  43.83,      915,   -22,  -11,  -19,   -8,  -11,   -1,    2,   16,    8,   22,   12,   26,   14,   28,   13,   27,    8,   21,   -1,   10,  -11,   -1,  -13,   -8,   181,   157,   188,   203,   287,   271,   270,   259,   263,   206,   144,   141
Wuhan, China                  114.31,  30.59,       25,    -1,    8,    1,   10,    6,   15,   12,   21,   18,   26,   22,   30,   25,   33,   25,   33,   19,   28,   13,   23,    7,   16,    2,   11,   107,   103,   116,   151,   181,   180,   232,   241,   177,   161,   144,   137
Xi'an, China                  108.94,  34.34,      424,    -4,    5,    0,    9,    6,   16,   11,   23,   16,   28,   21,   32,   23,   33,   22,   30,   17,   25,   12,   20,    5,   13,   -2,    7,   117,    93,   170,   199,   204,   205,   198,   168,   125,   130,   128,   138
Xiamen, China                 118.09,  24.48,       18,    10,   17,   10,   17,   12,   19,   16,   23,   20,   27,   23,   30,   25,   32,   25,   32,   23,   30,   20,   27,   16,   24,   12,   19,   133,    88,    90,   106,   133,   164,   235,   212,   179,   188,   163,   164
Xining, China                 101.78,  36.62,     2275,   -14,    1,  -10,    4,   -4,   10,    2,   16,    6,   20,   10,   23,   12,   25,   11,   24,    8,   19,    2,   14,   -6,    8,  -12,    3,   210,   205,   223,   241,   254,   237,   244,   244,   197,   208,   213,   201
Yinchuan, China               106.23,  38.49,     1100,   -12,    0,   -8,    5,   -2,   12,    5,   20,   11,   25,   16,   29,   18,   30,   17,   28,   11,   24,    4,   17,   -3,    8,  -10,    1,   182,   188,   225,   247,   283,   280,   281,   260,   224,   228,   196,   180
Zhengzhou, China              113.63,  34.75,      111,    -3,    6,   -1,    9,    4,   15,   10,   22,   16,   28,   21,   32,   24,   32,   22,   31,   17,   27,   11,   22,    4,   14,   -1,    8,   124,   125,   166,   197,   214,   201,   170,   170,   154,   160,   144,   130
Larnaca, Cyprus                33.62,  34.90,       26,     8,   17,    7,   17,    9,   19,   12,   23,   16,   27,   20,   30,   22,   32,   23,   33,   20,   31,   17,   28,   13,   23,    9,   18,   195,   209,   239,   267,   332,   378,   388,   366,   312,   276,   216,   180
Nicosia, Cyprus                33.38,  35.19,      220,     6,   16,    5,   16,    7,   19,   10,   24,   15,   30,   19,   34,   22,   37,   22,   37,   19,   34,   16,   29,   10,   22,    7,   17,   183,   200,   239,   267,   332,   369,   388,   366,   312,   276,   213,   171
Ahmedabad, India               72.57,  23.02,       53,    12,   28,   14,   31,   20,   36,   24,   40,   27,   42,   28,   39,   26,   34,   25,   32,   25,   34,   21,   36,   17,   33,   13,   30,   287,   274,   278,   297,   330,   238,   130,   111,   221,   291,   274,   289
Bangalore, India               77.59,  12.97,      914,    15,   27,   17,   30,   20,   33,   22,   34,   21,   33,   20,   29,   20,   28,   20,   27,   20,   28,   19,   28,   18,   27,   16,   26,   258,   274,   285,   258,   223,   144,    90,   123,   156,   168,   216,   236
Chennai, India                 80.27,  13.08,        6,    21,   29,   22,   31,   24,   33,   26,   34,   28,   37,   28,   37,   26,   35,   26,   34,   26,   34,   25,   32,   23,   30,   22,   29,   268,   268,   294,   290,   280,   203,   185,   194,   199,   195,   183,   204
Guwahati, India                91.74,  26.14,       72,     9,   22,   11,   23,   16,   30,   20,   30,   22,   30,   25,   32,   25,   32,   25,   32,   24,   31,   20,   30,   15,   27,   10,   23,   226,   214,   220,   201,   191,   133,   124,   162,   139,   206,   231,   232
Hyderabad, India               78.49,  17.39,      505,    15,   29,   18,   32,   21,   35,   24,   38,   26,   39,   24,   35,   23,   31,   22,   30,   22,   31,   20,   31,   17,   29,   15,   28,   279,   269,   263,   274,   282,   180,   141,   137,   167,   227,   247,   263
Indore, India                  75.86,  22.72,      564,    10,   27,   11,   29,   16,   34,   21,   39,   24,   40,   24,   36,   23,   30,   22,   28,   21,   31,   18,   32,   12,   30,   11,   27,   289,   276,   288,   306,   327,   209,   104,    80,   181,   271,   274,   281
Kolkata, India                 88.36,  22.57,        9,    14,   26,   17,   29,   22,   34,   25,   35,   26,   35,   27,   34,   26,   32,   26,   32,   26,   32,   24,   32,   20,   30,   15,   27,   204,   201,   226,   235,   227,   123,    93,   105,   116,   183,   191,   203
Mumbai, India                  72.88,  19.08,       12,    19,   30,   20,   30,   23,   31,   25,   32,   27,   33,   26,   32,   25,   30,   25,   30,   25,   31,   25,   33,   23,   33,   21,   32,   270,   282,   273,   279,   279,   162,    66,    78,   147,   240,   276,   294
Nagpur, India                  79.09,  21.15,      310,    13,   29,   15,   31,   19,   36,   24,   41,   28,   42,   26,   38,   24,   32,   24,   31,   23,   32,   20,   33,   16,   30,   13,   28,   272,   268,   288,   291,   294,   187,   115,   117,   183,   260,   264,   269
New Delhi, India               77.21,  28.61,      213,     8,   21,    9,   24,   16,   30,   21,   36,   25,   39,   27,   38,   27,   34,   27,   33,   25,   34,   19,   33,   13,   27,    9,   23,   214,   218,   239,   261,   264,   198,   167,   177,   219,   270,   246,   217
Jakarta, Indonesia            106.87,  -6.18,        8,    23,   29,   23,   29,   23,   29,   24,   30,   24,   31,   23,   30,   23,   30,   23,   31,   23,   31,   23,   31,   23,   31,   23,   30,   189,   182,   239,   255,   260,   255,   282,   295,   288,   279,   231,   220
Mashhad, Iran                  59.62,  36.26,      995,    -4,    7,   -2,    9,    3,   14,    8,   21,   12,   27,   16,   32,   19,   34,   17,   33,   12,   29,    6,   23,    2,   16,   -2,   10,   148,   148,   163,   200,   280,   343,   367,   360,   305,   250,   188,   152
Shiraz, Iran                   52.58,  29.59,     1500,     0,   12,    1,   15,    5,   19,    9,   24,   13,   31,   17,   36,   20,   38,   19,   37,   14,   34,    9,   28,    4,   21,    1,   14,   217,   219,   236,   248,   324,   358,   345,   330,   318,   298,   238,   216
Tehran, Iran                   51.39,  35.69,	  1219,     1,    8,    3,   11,    7,   16,   13,   23,   17,   28,   22,   34,   25,   37,   25,   36,   21,   32,   15,   25,    8,   16,    3,   10,   180,   210,   210,   210,   270,   360,   330,   330,   300,   240,   210,   180
Baghdad, Iraq                  44.36,  33.31,       41,     4,   16,    6,   19,   10,   22,   14,   29,   19,   36,   23,   41,   25,   43,   24,   44,   21,   40,   16,   34,   10,   25,    6,   18,   188,   218,   240,   255,   293,   345,   338,   345,   315,   263,   210,   188
Tel Aviv, Israel               34.78,  32.09,       32,     7,   18,    7,   19,    9,   21,   11,   25,   14,   27,   17,   29,   20,   31,   20,   31,   18,   30,   15,   28,   11,   24,    8,   20,   180,   207,   225,   273,   328,   362,   360,   344,   290,   272,   233,   280
Fukuoka, Japan                130.40,  33.59,       15,     4,   10,    4,   11,    7,   14,   11,   20,   16,   24,   20,   27,   24,   31,   25,   32,   21,   28,   15,   23,   10,   18,    6,   13,   102,   121,   150,   182,   195,   149,   174,   202,   163,   177,   136,   117
Kyoto, Japan                  135.77,  35.01,       47,     1,    9,    1,   10,    4,   13,    9,   20,   14,   25,   19,   28,   23,   32,   24,   33,   20,   29,   14,   23,    8,   17,    3,   12,   123,   117,   147,   175,   181,   138,   142,   183,   137,   157,   138,   136
Osaka, Japan                  135.50,  34.69,       17,     3,   10,    3,   10,    6,   14,   11,   20,   16,   25,   20,   28,   24,   32,   25,   33,   22,   29,   16,   23,   10,   18,    5,   12,   143,   135,   160,   189,   194,   156,   182,   217,   157,   164,   149,   152
Sapporo, Japan                141.35,  43.06,       26,    -7,   -1,   -7,    0,   -3,    4,    3,   12,    8,   17,   13,   22,   17,   25,   19,   26,   14,   22,    8,   16,    1,    9,   -4,    2,    93,   104,   147,   177,   198,   188,   165,   171,   161,   152,   100,    86
Sendai, Japan                 140.87,  38.27,       43,    -2,    5,   -2,    6,    1,    9,    6,   15,   11,   19,   16,   22,   20,   26,   21,   28,   18,   24,   11,   19,    5,   14,    1,    8,   148,   152,   177,   189,   185,   134,   120,   144,   121,   149,   140,   139
Tokyo, Japan                  139.69,  35.69,       20,     3,    9,    3,    9,    4,   12,    7,   17,   15,   21,   18,   26,   22,   28,   24,   30,   19,   26,   14,   21,    8,   16,    3,   12,   180,   180,   173,   180,   188,   150,   180,   195,   135,   135,   143,   165
Amman, Jordan                  35.93,  31.95,      900,     4,   13,    5,   14,    7,   18,   11,   23,   15,   28,   18,   31,   21,   33,   20,   33,   18,   31,   15,   27,   10,   20,    6,   15,   180,   182,   226,   267,   329,   369,   388,   366,   312,   276,   225,   180
Kuwait City, Kuwait            47.98,  29.38,        5,     9,   20,   10,   22,   14,   27,   20,   34,   25,   41,   29,   46,   31,   47,   30,   47,   26,   44,   22,   37,   15,   28,   10,   22,   198,   223,   218,   229,   273,   305,   307,   302,   285,   252,   217,   194
Beirut, Lebanon                35.50,  33.89,      105,    10,   18,   10,   18,   12,   20,   14,   22,   17,   25,   20,   27,   22,   29,   24,   30,   22,   29,   19,   27,   15,   23,   12,   20,   127,   152,   185,   243,   300,   348,   348,   323,   288,   237,   200,   142
Kuala Lumpur, Malaysia        101.69,   3.14,       63,    22,   32,   22,   33,   23,   33,   23,   33,   23,   33,   23,   33,   22,   32,   23,   32,   22,   32,   23,   32,   23,   32,   22,   32,   186,   222,   195,   189,   189,   198,   195,   189,   168,   159,   147,   162
Melaka City, Malaysia         102.25,   2.19,        6,    23,   31,   23,   33,   23,   33,   23,   32,   23,   32,   23,   31,   23,   31,   23,   31,   23,   31,   23,   31,   23,   31,   23,   31,   193,   203,   215,   208,   211,   194,   201,   191,   172,   180,   157,   167
Kathmandu, Nepal               85.32,  27.72,     1400,     2,   19,    5,   21,    8,   25,   12,   28,   16,   29,   19,   29,   20,   28,   20,   29,   19,   28,   13,   27,    8,   24,    4,   20,   223,   254,   260,   231,   229,   186,   136,   159,   132,   252,   244,   250
Islamabad, Pakistan            73.09,  33.73,      555,     3,   18,    5,   19,   10,   24,   15,   30,   20,   35,   24,   39,   24,   35,   24,   33,   21,   34,   14,   31,    8,   25,    3,   20,   196,   187,   202,   252,   312,   300,   264,   251,   262,   276,   248,   196
Karachi, Pakistan              67.01,  24.86,        8,    10,   26,   13,   28,   18,   32,   22,   34,   26,   35,   28,   35,   27,   33,   26,   32,   25,   33,   21,   35,   16,   32,   12,   27,   271,   249,   272,   277,   299,   232,   155,   148,   219,   284,   273,   272
Manila, Philippines           120.98,  14.60,        4,    22,   30,   22,   30,   24,   32,   25,   33,   26,   34,   25,   32,   25,   31,   25,   31,   24,   31,   24,   31,   24,   31,   23,   30,   171,   210,   219,   258,   216,   162,   129,   129,   132,   153,   153,   147
Doha, Qatar                    51.53,  25.29,       10,    14,   22,   14,   23,   17,   27,   21,   33,   26,   39,   29,   42,   30,   42,   30,   41,   28,   39,   25,   35,   20,   30,   16,   24,   245,   224,   242,   273,   326,   342,   326,   329,   306,   304,   276,	242
Kaohsiung, Republic of China  120.30,  22.63,        9,    16,   24,   17,   25,   19,   27,   22,   29,   25,   31,   26,   32,   26,   32,   26,   32,   26,   32,   24,   30,   21,   28,   17,   25,   175,   166,   187,   189,   199,   200,   221,   194,   176,   182,   162,   162
Taipei, Republic of China     121.57,  25.03,        7,    14,   18,   14,   19,   15,   21,   19,   25,   21,   28,   24,   31,   26,   33,   26,   33,   24,   30,   22,   27,   19,   24,   15,   20,    83,    75,    90,   113,   135,   165,   218,   210,   188,   135,   105,    90
Mecca, Saudi Arabia            39.86,  21.39,      277,    19,   31,   19,   32,   21,   35,   25,   39,   28,   42,   29,   44,   29,   43,   30,   43,   29,   43,   26,   40,   23,   35,   20,   32,   260,   246,   282,   282,   304,   321,   313,   298,   282,   300,   264,   248
Riyadh, Saudi Arabia           46.68,  24.71,      600,     3,   28,    4,   30,    8,   35,   12,   38,   18,   42,   21,   44,   23,   45,   24,   45,   19,   43,   14,   38,    9,   33,    3,   28,   210,   240,   210,   240,   270,   330,   330,   300,   270,   300,   270,   210
Busan, South Korea            129.08,  35.18,        2,    -1,    8,    1,   10,    5,   13,   10,   18,   14,   22,   18,   24,   22,   27,   23,   29,   20,   26,   14,   22,    8,   16,    2,   11,   199,   183,   193,   210,   221,   180,   166,   201,   167,   209,   194,   204
Seoul, South Korea            126.98,  37.57,       47,    -7,    0,   -3,    0,    1,    9,    7,   17,   13,   22,   17,   27,   20,   28,   21,   29,   16,   25,    9,   18,    2,   10,   -2,    3,   173,   195,   203,   225,   248,   210,   173,   195,   210,   225,   180,   188
Colombo, Sri Lanka             79.86,   6.93,        1,    22,   31,   23,   31,   24,   32,   25,   32,   26,   31,   26,   30,   25,   30,   25,   30,   25,   30,   24,   30,   23,   30,   23,   30,   248,   246,   276,   234,   202,   195,   202,   202,   189,   202,   210,   217
Bangkok, Thailand             100.50,  13.76,        2,    20,   31,   22,   32,   24,   33,   25,   35,   25,   33,   24,   32,   24,   32,   24,   32,   24,   31,   24,   31,   22,   30,   25,   30,   264,   267,   261,   258,   210,   177,   165,   156,   156,   192,   234,   255
Phuket, Thailand               98.39,   7.88,       10,    22,   32,   23,   33,   23,   34,   24,   33,   25,   32,   25,   32,   25,   31,   25,   31,   24,   30,   24,   31,   23,   31,   23,   31,   286,   272,   282,   248,   189,   140,   173,   174,   143,   180,   197,   244
Ankara, Turkey                 32.86,  39.93,      938,    -3,    4,   -2,    7,    1,   12,    6,   17,   10,   22,   13,   27,   16,   30,   16,   30,   12,   26,    7,   20,    2,   13,   -1,    7,    78,    99,   161,   192,   260,   306,   350,   360,   276,   202,   132,    71
Istanbul, Turkey               28.98,  41.01,       28,     4,    9,    3,   10,    4,   13,    8,   17,   12,   22,   16,   26,   18,   29,   18,   29,   15,   25,   12,   20,    8,   15,    5,   11,    75,   105,   135,   188,   255,   315,   345,   330,   248,   180,   113,    83
Mersin, Turkey                 34.64,  36.81,       10,     6,   15,    7,   16,    9,   18,   13,   22,   17,   25,   21,   28,   24,   31,   24,   32,   21,   30,   16,   27,   11,   21,    8,   17,   174,   160,   211,   228,   273,   303,   316,   310,   282,   242,   177,   152
Ashgabat, Turkmenistan         58.33,  37.96,      219,     0,    9,    1,   11,    6,   17,   12,   24,   17,   30,   22,   36,   24,   38,   22,   37,   16,   32,   10,   24,    5,   17,    1,   10,   113,   119,   146,   194,   275,   336,   354,   348,   289,   217,   157,   104
Dubai, United Arab Emirates    55.27,  25.20,        9,    15,   24,   16,   25,   18,   28,   21,   33,   25,   38,   28,   40,   30,   41,   31,   41,   28,   39,   24,   36,   20,   31,   17,   26,   240,   270,   240,   300,   330,   330,   330,   300,   300,   300,   300,   240
Tashkent, Uzbekistan           69.24,  41.30,      500,    -2,    7,    0,    9,    5,   15,   10,   22,   14,   28,   18,   33,   20,   36,   18,   35,   13,   29,    8,   22,    4,   15,    0,    9,   117,   125,   165,   217,   303,   362,   384,   366,   301,   225,   150,   106
Ho Chi Minh City, Vietnam     106.63,  10.82,       19,    21,   32,   23,   33,   24,   34,   26,   35,   25,   34,   25,   32,   24,   32,   24,   32,   24,   32,   24,   31,   23,   31,   21,   31,   245,   246,   272,   239,   195,   171,   180,   172,   162,   182,   200,   226
Adrar, Algeria                  0.19,  27.97,      258,     4,   21,    8,   25,   11,   28,   15,   32,   19,   37,   25,   43,   27,   45,   27,   44,   23,   40,   17,   33,   10,   26,    5,   21,   270,   257,   310,   318,   326,   333,   344,   329,   288,   279,   261,   264
Algiers, Algeria                3.06,  36.75,        2,     6,   17,    6,   17,    7,   19,    9,   21,   12,   24,   16,   28,   19,   31,   20,   32,   18,   30,   14,   26,   10,   21,    7,   18,   140,   158,   208,   228,   301,   300,   353,   326,   267,   198,   153,   146
Biskra, Algeria                 5.75,  34.84,       87,     7,   17,    9,   19,   11,   23,   15,   26,   19,   31,   24,   37,   27,   40,   27,   40,   23,   34,   18,   28,   12,   22,    8,   18,   223,   223,   260,   282,   319,   333,   363,   329,   270,   267,   213,   211
Ghardaïa, Algeria               3.67,  32.49,      572,     6,   16,    7,   19,   10,   22,   14,   27,   18,   32,   24,   37,   27,   40,   26,   40,   22,   35,   17,   28,   11,   21,    7,   17,   240,   240,   270,   300,   330,   330,   360,   330,   300,   270,   240,   210
Oran, Algeria                   0.63,  35.70,        1,     5,   17,    7,   18,    8,   20,   10,   22,   13,   24,   17,   28,   19,   31,   20,   32,   18,   29,   14,   25,   10,   21,    7,   18,   180,   191,   235,   251,   296,   300,   330,   318,   279,   229,   172,   159
Ouargla, Algeria                4.98,  32.17,      219,     5,   18,    7,   21,   11,   26,   15,   30,   20,   35,   25,   40,   28,   43,   27,   43,   23,   37,   17,   31,   10,   23,    6,   19,   240,   250,   305,   310,   345,   340,   380,   355,   300,   290,   230,   240
